iter	Passed	Remaining
544	5510	4600
545	5521	4590
546	5530	4580
547	5541	4570
548	5551	4560
549	5561	4550
550	5571	4540
551	5581	4530
552	5591	4520
553	5602	4509
554	5612	4500
555	5622	4489
556	5632	4479
557	5642	4469
558	5653	4459
559	5663	4449
560	5673	4439
561	5683	4429
562	5692	4418
563	5703	4408
564	5713	4398
565	5723	4388
566	5733	4378
567	5743	4368
568	5753	4358
569	5763	4348
570	5774	4338
571	5784	4327
572	5794	4317
573	5804	4307
574	5814	4297
575	5825	4287
576	5834	4277
577	5844	4267
578	5854	4257
579	5865	4247
580	5875	4237
581	5885	4227
582	5895	4217
583	5905	4206
584	5915	4196
585	5925	4186
586	5935	4176
587	5945	4166
588	5955	4155
589	5965	4145
590	5975	4135
591	5985	4125
592	5996	4115
593	6006	4105
594	6015	4094
595	6026	4084
596	6036	4074
597	6046	4064
598	6056	4054
599	6066	4044
600	6076	4034
601	6086	4024
602	6096	4014
603	6107	4003
604	6117	3993
605	6127	3983
606	6137	3973
607	6147	3963
608	6156	3952
609	6166	3942
610	6176	3932
611	6186	3922
612	6196	3912
613	6206	3901
614	6215	3891
615	6226	3881
616	6235	3870
617	6245	3860
618	6256	3850
619	6266	3840
620	6276	3830
621	6286	3820
622	6296	3810
623	6306	3800
624	6316	3789
625	6326	3779
626	6337	3769
627	6347	3759
628	6357	3749
629	6366	3739
630	6377	3729
631	6387	3719
632	6396	3708
633	6406	3698
634	6416	3688
635	6426	3677
636	6436	3667
637	6446	3657
638	6456	3647
639	6467	3637
640	6477	3627
641	6487	3617
642	6497	3607
643	6507	3597
644	6517	3587
645	6527	3577
646	6537	3567
647	6547	3556
648	6558	3546
649	6568	3536
650	6578	3526
651	6588	3516
652	6598	3506
653	6608	3496
654	6618	3485
655	6627	3475
656	6638	3465
657	6648	3455
658	6658	3445
659	6668	3435
660	6679	3425
661	6689	3415
662	6699	3405
663	6709	3395
664	6720	3385
665	6730	3375
666	6740	3365
667	6750	3355
668	6760	3345
669	6770	3334
670	6780	3324
671	6791	3314
672	6801	3304
673	6811	3294
674	6821	3284
675	6831	3274
676	6841	3264
677	6851	3254
678	6861	3243
679	6871	3233
680	6881	3223
681	6891	3213
682	6901	3203
683	6911	3193
684	6921	3182
685	6931	3172
686	6941	3162
687	6951	3152
688	6962	3142
689	6972	3132
690	6982	3122
691	6992	3112
692	7002	3102
693	7012	3092
694	7023	3082
695	7033	3072
696	7043	3061
697	7053	3051
698	7063	3041
699	7073	3031
700	7083	3021
701	7093	3011
702	7103	3000
703	7112	2990
704	7123	2980
705	7133	2970
706	7143	2960
707	7153	2950
708	7163	2940
709	7173	2930
710	7183	2920
711	7193	2909
712	7203	2899
713	7213	2889
714	7224	2879
715	7233	2869
716	7244	2859
717	7254	2849
718	7263	2838
719	7273	2828
720	7283	2818
721	7293	2808
722	7303	2798
723	7313	2788
724	7323	2778
725	7334	2767
726	7344	2757
727	7353	2747
728	7364	2737
729	7373	2727
730	7383	2717
731	7393	2707
732	7403	2696
733	7414	2686
734	7424	2676
735	7434	2666
736	7443	2656
737	7454	2646
738	7464	2636
739	7474	2626
740	7484	2616
741	7494	2606
742	7504	2595
743	7514	2585
744	7525	2575
745	7535	2565
746	7545	2555
747	7555	2545
748	7565	2535
749	7575	2525
750	7585	2514
751	7595	2504
752	7604	2494
753	7615	2484
754	7624	2474
755	7634	2464
756	7644	2454
757	7654	2443
758	7665	2433
759	7674	2423
760	7684	2413
761	7694	2403
762	7705	2393
763	7714	2383
764	7724	2372
765	7734	2362
766	7744	2352
767	7754	2342
768	7764	2332
769	7774	2322
770	7784	2312
771	7794	2301
772	7804	2291
773	7814	2281
774	7824	2271
775	7834	2261
776	7844	2251
777	7854	2241
778	7864	2231
779	7874	2221
780	7884	2210
781	7894	2200
782	7904	2190
783	7914	2180
784	7924	2170
785	7934	2160
786	7944	2150
787	7954	2140
788	7965	2130
789	7974	2119
790	7984	2109
791	7994	2099
792	8004	2089
793	8014	2079
794	8024	2069
795	8034	2059
796	8044	2048
797	8054	2038
798	8064	2028
799	8074	2018
800	8084	2008
801	8094	1998
802	8104	1988
803	8114	1978
804	8124	1968
805	8134	1957
806	8144	1947
807	8154	1937
808	8165	1927
809	8174	1917
810	8184	1907
811	8194	1897
812	8204	1887
813	8215	1877
814	8224	1866
815	8234	1856
816	8245	1846
817	8255	1836
818	8265	1826
819	8275	1816
820	8285	1806
821	8295	1796
822	8305	1786
823	8315	1776
824	8325	1766
825	8335	1755
826	8345	1745
827	8355	1735
828	8365	1725
829	8375	1715
830	8385	1705
831	8395	1695
832	8405	1685
833	8415	1674
834	8425	1664
835	8435	1654
836	8445	1644
837	8455	1634
838	8465	1624
839	8475	1614
840	8485	1604
841	8495	1594
842	8505	1584
843	8516	1574
844	8526	1564
845	8536	1553
846	8546	1543
847	8556	1533
848	8566	1523
849	8576	1513
850	8586	1503
851	8596	1493
852	8606	1483
853	8616	1473
854	8626	1463
855	8636	1452
856	8646	1442
857	8656	1432
858	8666	1422
859	8676	1412
860	8686	1402
861	8696	1392
862	8706	1382
863	8716	1372
864	8726	1361
865	8736	1351
866	8746	1341
867	8756	1331
868	8766	1321
869	8777	1311
870	8787	1301
871	8797	1291
872	8807	1281
873	8817	1271
874	8827	1261
875	8838	1251
876	8848	1240
877	8858	1230
878	8868	1220
879	8878	1210
880	8888	1200
881	8898	1190
882	8908	1180
883	8919	1170
884	8929	1160
885	8939	1150
